id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
485699,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,c8b69b33-2bf8-45b2-93ac-e0bb849cfebb,119571,66997,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Jennifer Ackerfield, 1-2011",,,,,,,"collectors: S O'Kane 117",,1981-04-24,1981,4,24,114,,"24 Apr 1981",,,,,,,,,,"Quercus, Juniperus, Poa",,,,,1,,,,,,,"United States",Colorado,"Rio Blanco County",,"jct of Fourmile Ck Rd & E Miller Ck Rd",,39.87,-107.75,WGS84,,,,,,,,2318,,,,,7605ft.,,en,,"2017-01-16 20:06:58",http://creativecommons.org/licenses/by-nc/3.0/,,,c8b69b33-2bf8-45b2-93ac-e0bb849cfebb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485699
485702,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,76aecf87-6410-4bc2-b1df-51212c63384d,119569,61516,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Jennifer Ackerfield, 1-2011",,,,,,,"collectors: F Stermitz FRS-78",,1978-05-27,1978,5,27,147,,"27 May 1978",,,,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Routt County",,"ca 4 mi S of Milner on rd to Oak Ck",,,,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:06:57",http://creativecommons.org/licenses/by-nc/3.0/,,,76aecf87-6410-4bc2-b1df-51212c63384d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485702
485703,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,d078af06-a5b5-464e-9b96-3a2abe2c1b6d,119570,14681,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",18561,Rydb.,Physaria,,floribunda,,,Species,"Jennifer Ackerfield, 1-2011",,,,,,,"collectors: W Baker 83-98",,1983-07-04,1983,7,4,185,,"4 Jul 1983",,"steep SW facing outcrop of sandstone",,,,,,,,"Agropyron, Amelanchier, Oryzopsis",,,,,1,,,,,,,"United States",Colorado,"Routt County",,"ca 5 mi directly E of Hayden, ca 0.2 mi E of Yampa River",,40.49,-107.15,WGS84,,,,,,,,1987,,,,,6519ft.,,en,,"2017-01-16 20:06:57",http://creativecommons.org/licenses/by-nc/3.0/,,,d078af06-a5b5-464e-9b96-3a2abe2c1b6d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485703
485718,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,84eba895-7164-4d0b-b5e3-e17ca230babf,108890,31945,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: W Weber 3270",,1947-04-10,1947,4,10,100,,"10 Apr 1947",,"shale in dry washes, S facing slope",,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Boulder County",,"Four-Mile Mesa",,40.08,-105.23,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:06:52",http://creativecommons.org/licenses/by-nc/3.0/,,,84eba895-7164-4d0b-b5e3-e17ca230babf,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485718
485719,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,d5969437-36bb-40ec-a4fb-3915da4e7f89,108889,31364,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: W Weber 3372",,1947-05-22,1947,5,22,142,,"22 May 1947",,"SE facing shale slope",,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Boulder County",,"Four-Mile Mesa 4 mi N of Boulder",,40.13,-105.28,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:06:52",http://creativecommons.org/licenses/by-nc/3.0/,,,d5969437-36bb-40ec-a4fb-3915da4e7f89,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485719
485720,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,9127dadb-7230-4722-849b-3c52752a0ad3,108899,58966,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: T Naumann 2",,1984-06-07,1984,6,7,159,,"7 Jun 1984",,"clay loam",,,,,,,,"Eriogonum, Agropyron, Convolvulus",,,,,1,,,,,,,"United States",Colorado,"Boulder County",,"Niwot Rd 1/2 mi E of jct with Hwy 36",,40.11,-105.27,WGS84,,,,,,,,1655,,,,,5430ft.,,en,,"2017-01-16 20:06:52",http://creativecommons.org/licenses/by-nc/3.0/,,,9127dadb-7230-4722-849b-3c52752a0ad3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485720
485721,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,f971859f-0ae6-435a-9f39-a017183dff6d,108884,58945,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: T Naumann 1",,1984-06-07,1984,6,7,159,,"7 Jun 1984",,shale,,,,,,,,"Eriogonum, Yucca, Physocarpus, Rhus, Gutierrezia",,,,,1,,,,,,,"United States",Colorado,"Boulder County",,"US Hwy 36, 3 mi N of Boulder, ca 0.6 mi N of Left-hand Valley Reservoir",,40.11,-105.27,WGS84,,,,,,,,1676,,,,,5499ft.,,en,,"2017-01-16 20:06:51",http://creativecommons.org/licenses/by-nc/3.0/,,,f971859f-0ae6-435a-9f39-a017183dff6d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485721
485722,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,c4417e37-9b94-41e6-8236-cd83c267fd30,108878,72528,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: B Neely 2514",,1985-05-05,1985,5,5,125,,"5 May 1985",,"shale outcrops, E facing slope",,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Boulder County",,"along Hwy 36, 4 mi N of Boulder",,40.1,-105.25,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:06:51",http://creativecommons.org/licenses/by-nc/3.0/,,,c4417e37-9b94-41e6-8236-cd83c267fd30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485722
485723,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,f5d38b1a-9fcb-4539-9d8e-9b90cb388ac0,108892,70027,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: R Popp",,1983-06-10,1983,6,10,161,,"10 Jun 1983",,"shale outcrops & loose gravelly soil",,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Boulder County",,"along Hwy 38, 4 mi N of jct with St Hwy 119",,40.09,-105.27,WGS84,,,,,,,,1706,,,,,5597ft.,,en,,"2017-01-16 20:06:51",http://creativecommons.org/licenses/by-nc/3.0/,,,f5d38b1a-9fcb-4539-9d8e-9b90cb388ac0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485723
485724,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,9eb1c1b2-5e2e-461e-9153-fa0d7932e920,108877,1234,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: D Wilken 12887",,1977-05-18,1977,5,18,138,,"18 May 1977",,"shale outcrop & loose gravelly soil",,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Boulder County",,"along Hwy 7, 3 mi N of jct with Hwy 119",,40.01,-105.25,WGS84,,,,,,,,1706,,,,,5597ft.,,en,,"2017-01-16 20:06:50",http://creativecommons.org/licenses/by-nc/3.0/,,,9eb1c1b2-5e2e-461e-9153-fa0d7932e920,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485724
485725,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,5d69680a-a490-4529-91d2-7db9e6b3710a,108881,70028,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: R Popp",,1983-06-18,1983,6,18,169,,"18 Jun 1983",,"shale outcrops",,,,,,,,"Rhus, Oryzopsis, Stipa",,,,,1,,,,,,,"United States",Colorado,"Larimer County",,"0.1 mi N of County Rd 8, 1.3 mi W of jct with Hwy 56, SW of Loveland",,40.31,-105.17,WGS84,,,,,,,,1600,,,,,5250ft.,,en,,"2017-01-16 20:06:50",http://creativecommons.org/licenses/by-nc/3.0/,,,5d69680a-a490-4529-91d2-7db9e6b3710a,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485725
485726,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,64163a4a-d2d9-44f2-95ef-ad1c5ca2dff4,108886,23324,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: T Naumann & K Trout 4",,1984-07-02,1984,7,2,184,,"2 Jul 1984",,"sandy soil of E facing slope",,,,,,,,"Rhus, Cercocarpus, Yucca",,,,,1,,,,,,,"United States",Colorado,"Larimer County",,"0.8 mi SW of Hagler Reservoir, 0.7 mi SE of Poison Lake",,40.35,-105.16,WGS84,,,,,,,,1597,,,,,5240ft.,,en,,"2017-01-16 20:06:50",http://creativecommons.org/licenses/by-nc/3.0/,,,64163a4a-d2d9-44f2-95ef-ad1c5ca2dff4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485726
485727,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,7241182c-390a-4397-ba55-9061fe6f4d96,108898,72525,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: B Neely 2734",,1985-06-02,1985,6,2,153,,"2 Jun 1985",,"shale bluffs",,,,,,,,"Mt mahogany, squawbush",,,,,1,,,,,,,"United States",Colorado,"Larimer County",,"3.6 mi E of Hwy 287, Campbell Valley just S of Reservoir 15",,40.77,-105.12,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:06:50",http://creativecommons.org/licenses/by-nc/3.0/,,,7241182c-390a-4397-ba55-9061fe6f4d96,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485727
485728,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,7838c50b-f96e-4487-81a8-ce17d1751cc8,100933,23325,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: T Naumann & K Trout 3",,1984-07-02,1984,7,2,184,,"2 Jul 1984",,"sandy to rocky soil",,,,,,,,"Rhus, Cercocarpus, Stipa, Oryzopsis",,,,,1,,,,,,,"United States",Colorado,"Larimer County",,"E of Dixon Reservoir",,40.56,-105.14,WGS84,,,,,,,,1584,,,,,5197ft.,,en,,"2017-01-16 20:06:49",http://creativecommons.org/licenses/by-nc/3.0/,,,7838c50b-f96e-4487-81a8-ce17d1751cc8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485728
485729,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,aa458640-6bc3-4ded-8857-f250e4d558a9,108887,9261,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria bellii",44662,G.A.Mulligan,Physaria,,bellii,,,Species,,,,,,,,"collectors: C Crandall",,1896-05-02,1896,5,2,123,,"2 May 1896",,,,,,,,,,,,,,,1,,,,,,,"United States",Colorado,"Larimer County",,"N of La Porte",,40.65,-105.13,WGS84,,,,,,,,,,,,,,,en,,"2017-01-16 20:06:49",http://creativecommons.org/licenses/by-nc/3.0/,,,aa458640-6bc3-4ded-8857-f250e4d558a9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=485729
