id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
485703,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,14681,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"W Baker 83-98",,1983-07-04,1983,7,4,185,,,,"steep SW facing outcrop of sandstone",,,,,,,,,,,,,,USA,Colorado,"Routt County",,"ca 5 mi directly E of Hayden, ca 0.2 mi E of Yampa River",,40.4929,-107.157,,,"T6N R87W S9",,,,,,1987,,,,,"6519 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d078af06-a5b5-464e-9b96-3a2abe2c1b6d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485703
485738,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,9268,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"P Rydberg & F Vreeland",,1900-06-27,1900,6,27,178,,,,,,,,,,,,,,,,,,USA,Colorado,"Costilla County",,"Sangre De Christo Ck",,37.5165,-105.3024,,,,,,,,,2700,,,,,"8859 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:42483cb9-6e7c-4345-8a3e-81f7cdb9bced,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485738
485739,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,9267,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"J Cowen",,1892-06-25,1892,6,25,177,,,,,,,,,,,,,,,,,,USA,Colorado,"Delta County",,"hills N of Hotchkiss",,38.8231,-107.7142,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:525bf908-5b0b-41f7-85c8-b449ecb6f8af,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485739
485740,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,9258,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"C Porter",,1941-05-10,1941,5,10,130,,,,,,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"2 mi N of Rifle",,39.5651,-107.7706,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:05bf0a47-8259-4b3f-8545-2e4612a558f8,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485740
485741,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,26125,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"H Harrington & E Smith 1117",,1945-06-21,1945,6,21,172,,,,"gorge, part shade",,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"6 mi W of Glenwood Springs",,39.5687,-107.4268,,,,,,,,,1798,,,,,"5899 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d3f96233-8a4c-49c4-8c1c-b72fadf5ddfb,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485741
485742,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,35650,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"H Harrington 8288",,1956-06-16,1956,6,16,168,,,,"ravine in part shade",,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"7 mi W of Glenwood Springs",,39.5757,-107.4354,,,,,,,,,1767,,,,,"5798 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:388137e1-be75-4f86-9b17-910dc62ea92f,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485742
485743,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,23892,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"H Harrington 8802",,1958-06-01,1958,6,1,152,,,,"open slope",,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"7.5 mi SW of Grand Valley",,39.3859,-108.1331,,,,,,,,,1524,,,,,"5000 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f92c074d-e50c-46f0-a0cb-a6373e7f372f,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485743
485744,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,59558,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"W Erickson & T Baumann 797",,1979-08-08,1979,8,8,220,,,,"shale of upper bank of roadcut",,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"Anvil Points & Naval Oil Shale Tract along JQS Trail from tup of Roan Cliffs to 1 mi below",,39.5859,-107.889,,,"T5S R94W S25",,,,,,2687,,,,,"8816 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3c8bc3e6-13eb-4cb3-8d73-ecc8c1b48cd2,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485744
485745,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,71629,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"R & K Rollins 8377",,1983-06-18,1983,6,18,169,,,,"steep hillside",,,,,,,,,,,,,,USA,Colorado,"Gunnison County",,"near St Hwy 92, 1 mi NW of Blue Mesa Dam",,38.4578,-107.35489,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:a9b7cd50-e0c5-4692-b41b-47d7c2bce1aa,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485745
485749,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,40045,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"R Gierisch 2308",,1961-06-26,1961,6,26,177,,,,"clay loam, rocky S exposure",,,,,,,,,,,,,,USA,Colorado,"Mesa County",,"Lands End Rd, Grand Mesa",,38.9958,-108.257,,,"T12S  R97W  S20",,,,,,1828,,,,,"5998 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:87ba6c0d-4e56-4497-a126-113f809f7b9c,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485749
485750,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,28278,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"H Harrington 2685",,1947-05-24,1947,5,24,144,,,,"clay roadbank",,,,,,,,,,,,,,USA,Colorado,"Mesa County",,"W side of Grand Mesa",,39.01214,-108.25513,,,,,,,,,2194,,,,,"7199 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:55ef02c1-4d20-4ef1-aa02-c92c7858d67f,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485750
485752,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,71628,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"R & K Rollins 8380",,1983-06-18,1983,6,18,169,,,,"clay hillside",,,,,,,,,,,,,,USA,Colorado,"Montrose County",,"off St Hwy 92, 2 mi S of Maher",,38.63145,-107.58078,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:120b084a-de37-4697-b6f7-a7f5849e47bd,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485752
485753,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,9265,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"E Bethel",,1898-06-23,1898,6,23,174,,,,,,,,,,,,,,,,,,USA,Colorado,"Ouray County",,Ridgway,,38.15237,-107.75439,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ecf98525-7a5f-4595-9832-5d7201783201,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485753
485755,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,37745,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,,,,,,,,"D Johnson 10",,1960-06-27,1960,6,27,179,,,,"open bank",,,,,,,,,,,,,,USA,Colorado,"Saguache County",,"2 mi N of Cochetopa Dome",,38.2519,-106.6834,,,,,,,,,2743,,,,,"9000 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:226f365b-d0c2-4f51-a866-199ecd5d9981,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485755
485764,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,75883,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"S. Spackman, K. Carsey, K. Fayette  SS-96-30.b",,1996-07-08,1996,7,8,190,,,,,,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"South side of Mt. Callahan; Grand Valley Quad.",,39.438,-108.1131,,,"T7S R96w S16",,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:14e249b4-c35d-4f18-818c-38be0b8bf948,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485764
485766,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,9273,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings, 2003",,,,,,,"E Bethel",,,,,,,,,,,,,,,,,,,,,,,,USA,Colorado,"Eagle County",,Edwards,,39.6441,-106.5941,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8da8dfd2-da38-4119-97c9-eb9fe5a2907d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485766
485767,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,58097,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings, 2003",,,,,,,"B Painter et al 38",,1978-07-14,1978,7,14,195,,,,,,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"along rd above Logan Wash, Roan Cliffs ca 10 mi E of County Rd 204",,39.4091,-108.2051,,,,,,,,,2560,,,,,"8399 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:4567d262-a283-46fd-89fd-04e89457d7d1,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485767
485768,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,39228,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings, 2003",,,,,,,"N Russell 10267",,1959-07-08,1959,7,8,189,,,,"dry open SE facing slope",,,,,,,,,,,,,,USA,Colorado,"Gunnison County",,"2 mi S of Almont, 8 mi N of Gunnison",,38.63816,-106.86942,,,,,,,,,2895,,,,,"9498 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9c637964-bfee-4f9a-814f-bef5b26e6ff6,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=485768
521561,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,82209,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"R Osborn",2,2001-05-19,2001,5,19,139,,,,"Roadside slope",,,,,,,,,,,,,,USA,Colorado,"Eagle County",,"10 ft. s of I-70, 2.3 mi. W of Eagle at mi. marker 145.",,39.6474,-106.8665,,,"T5S R85W S1",,,,,,2012,,,,,"6600 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d2fcfad3-4dcb-4db4-9e7a-01ddb471f27a,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=521561
521745,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,82463,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Jennifer Ackerfield, 1-2011",,,,,,,"K J Taylor",6995,1998-06-19,1998,6,19,170,,,,"Sagebrush hills",,,,,,,,,,,,,,USA,Colorado,"Gunnison County",,"Northern Gunnison Basin:  ca 2 air mi SW of Almont.",,38.6528,-106.866,,,"T51N R1E S28",,,,,,2896,,,,,"9500 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:ec5f1d2c-8376-4874-b935-c1ea2c4a2fcb,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=521745
523256,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,73596,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"A L Ward",,1955-06-29,1955,6,29,180,,,,,,,,,,,,,,,,,,USA,Colorado,"Gunnison County",,"Gunnison River 2 mi above Sapinero.",,38.48583,-107.28872,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:777ba35f-8e2d-4ee8-b222-66bec82f627d,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=523256
523257,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,71056,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"E Neese",13247,1983-05-11,1983,5,11,131,,,,"Mancos shale formation, clay soil",,,,,,,,,,,,,,USA,Colorado,"Delta County",,"At SW corner of Paonia, steep slopes between the RR and canal",,38.8663,-107.6011,,,"T14S R91W S6",,,,,,1756,,,,,"5760 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:166a7651-ebc5-4c03-8848-90d21d2d7310,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=523257
523258,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,69593,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"E Neese",11279,1982-05-02,1982,5,2,122,,,,"Sandstone slopes and purple mudstone",,,,,,,,,,,,,,USA,Colorado,"Garfield County",,"4 mi N of Rifle on Hwy 789",,,,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f21e1e9e-1b69-4b42-aea0-bb4ecc4556ed,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=523258
523259,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,68144,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"W Baker",82-369,1982-08-28,1982,8,28,240,,,,"scattered on volcanic cinders and ash of crater rim",,,,,,,,,,,,,,USA,Colorado,"Eagle County",,"E rim of Dotsero Crater, 1 mi NE of Dotsero",,39.6621,-107.0209,,,"T4S R86W S34",,,,,,2195,,,,,"7200 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:48c7315c-cdd4-480e-a264-0b9eb7a27258,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=523259
523260,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,61979,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"Bill Jennings",,,,,,,"T R Suess",TRS-60,1978-06-09,1978,6,9,160,,,,,,,,,,,,,,,,,,USA,Colorado,"Routt County",,"10 mi S of Toponas on Hwy 131, along side of rd.",,,,,,,,,,,,,,,,,,,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7df95549-5a8e-4938-938e-4b42f8d865e1,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=523260
525489,CS,,,f5db692d-95c2-4532-a9e0-76a3d2bb675a,PreservedSpecimen,,80908,,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Physaria floribunda",Rydb.,Physaria,floribunda,,,"S. Spackman & D. Anderson",,,,,,,"Susan Spackman",SS-99-04b,1999-06-12,1999,6,12,163,,,,"Common in sparsely vegetated areas",,,,,,,,,,,,,,USA,Colorado,"Costilla County",,"Forbes Park.  Near entrance along railroad.",,,,,,,,,,,,2743,,,,,"9000 ft.",,,,"2015-01-06 14:31:47",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:963e1544-5de7-45af-bd1c-398d8a0d7aba,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=525489
